Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum (Nth),Max transmission of Ref. spec. (dB),Rsq of IV,I at -1V [A],I at 1V [A],Graph Image
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 09:22:58 2019,process LMZ,0.1,A2,magdzi83,-1,-1,0,No Error,1550,0.9985,-5.2747,1.0000,5.3125e-08,6.7930e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-1,-1)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-1,-1)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 09:54:49 2019,process LMZ,0.1,A2,magdzi83,-1,-3,0,No Error,1550,0.9991,-5.3437,1.0000,6.2870e-08,6.4828e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-1,-3)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-1,-3)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 15:14:12 2019,process LMZ,0.1,A2,magdzi83,-1,3,0,No Error,1550,0.9967,-6.1457,1.0000,5.3568e-08,6.6561e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-1,3)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-1,3)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 12:34:34 2019,process LMZ,0.1,A2,magdzi83,-3,-3,0,No Error,1550,0.9980,-5.8364,1.0000,6.7618e-08,6.3892e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-3,-3)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-3,-3)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 11:30:43 2019,process LMZ,0.1,A2,magdzi83,-3,0,0,No Error,1550,0.9990,-5.4317,1.0000,3.8478e-08,6.7251e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-3,0)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-3,0)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 15:46:06 2019,process LMZ,0.1,A2,magdzi83,-3,2,0,No Error,1550,0.9959,-6.4340,1.0000,5.9377e-08,6.8243e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-3,2)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-3,2)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 12:02:37 2019,process LMZ,0.1,A2,magdzi83,-4,-1,0,No Error,1550,0.9975,-6.0703,1.0000,7.6405e-08,6.4395e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(-4,-1)_LION1_DCM_LMZO.png"", ""HY202103_D08_(-4,-1)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 13:06:26 2019,process LMZ,0.1,A2,magdzi83,0,-4,0,No Error,1550,0.9975,-6.2246,1.0000,7.6362e-08,6.4641e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(0,-4)_LION1_DCM_LMZO.png"", ""HY202103_D08_(0,-4)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 08:51:01 2019,process LMZ,0.1,A2,magdzi83,0,0,0,No Error,1550,0.9975,-5.7054,1.0000,7.2038e-08,6.9192e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(0,0)_LION1_DCM_LMZO.png"", ""HY202103_D08_(0,0)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 10:58:49 2019,process LMZ,0.1,A2,magdzi83,0,2,0,No Error,1550,0.9987,-5.2339,1.0000,3.4445e-08,6.7296e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(0,2)_LION1_DCM_LMZO.png"", ""HY202103_D08_(0,2)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 10:26:52 2019,process LMZ,0.1,A2,magdzi83,2,-1,0,No Error,1550,0.9964,-5.6425,1.0000,3.5368e-08,6.3481e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(2,-1)_LION1_DCM_LMZO.png"", ""HY202103_D08_(2,-1)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 13:38:20 2019,process LMZ,0.1,A2,magdzi83,2,-3,0,No Error,1550,0.9977,-6.2604,1.0000,6.3460e-08,6.4095e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(2,-3)_LION1_DCM_LMZO.png"", ""HY202103_D08_(2,-3)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 14:42:14 2019,process LMZ,0.1,A2,magdzi83,2,2,0,No Error,1550,0.9986,-5.6287,1.0000,3.9448e-08,6.4429e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(2,2)_LION1_DCM_LMZO.png"", ""HY202103_D08_(2,2)_LION1_DCM_LMZO"")"
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 14:10:16 2019,process LMZ,0.1,A2,magdzi83,3,0,0,No Error,1550,0.9984,-5.8732,1.0000,5.3003e-08,6.3561e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D08/20190526_082853/HY202103_D08_(3,0)_LION1_DCM_LMZO.png"", ""HY202103_D08_(3,0)_LION1_DCM_LMZO"")"
